Student 1 B,Student 1 U,Student 1 Y,Student 2 B,Student 2 U,Student 2 Y,Student 3 B,Student 3 U,Student 3 Y,Student 4 B,Student 4 U,Student 4 Y
77.81976563006177,1.0,0.0,43.00649112954666,1.0,1.0,67.50350228495988,1.0,0.0,51.73369518517427,1.0,0.0
63.15087065468685,1.0,0.0,60.67188415046471,1.0,0.0,55.128281241145906,1.0,0.0,42.11208820591851,1.0,1.0
48.48197567931193,1.0,0.0,53.11507885015574,1.0,0.0,42.75306019733193,1.0,1.0,64.37932120392216,1.0,0.0
33.81308070393701,1.0,1.0,45.55827354984677,1.0,0.0,61.864905157596276,1.0,0.0,54.7577142246664,1.0,0.0
54.88821156885617,1.0,0.0,38.001468249537794,1.0,1.0,49.4896841137823,1.0,0.0,45.13610724541064,1.0,0.0
40.21931659348125,1.0,0.0,55.666861270455854,1.0,0.0,37.11446306996833,1.0,1.0,35.51450026615488,1.0,0.0
25.550421618106334,1.0,1.0,48.11005597014688,1.0,0.0,56.22630803023268,1.0,0.0,25.892893286899128,1.0,0.0
46.625552483025494,1.0,0.0,40.55325066983791,1.0,0.0,43.85108698641871,1.0,0.0,16.271286307643372,1.0,1.0
31.956657507650576,1.0,1.0,32.996445369528935,1.0,0.0,31.475865942604734,1.0,0.0,38.538519305647014,1.0,0.0
53.03178837256973,1.0,0.0,25.439640069219962,1.0,0.0,19.10064489879076,1.0,1.0,28.91691232639126,1.0,0.0
38.36289339719481,1.0,0.0,17.88283476891099,1.0,0.0,38.21248985905511,1.0,0.0,19.295305347135503,1.0,1.0
23.69399842181989,1.0,0.0,10.326029468602016,1.0,1.0,25.83726881524114,1.0,0.0,41.562538345139146,1.0,0.0
9.025103446444973,1.0,1.0,27.99142248952007,1.0,0.0,13.462047771427166,1.0,0.0,31.94093136588339,1.0,0.0
30.100234311364133,1.0,0.0,20.434617189211096,1.0,0.0,1.086826727613193,1.0,1.0,22.319324386627635,1.0,0.0
15.431339335989215,1.0,1.0,12.877811888902123,1.0,0.0,20.198671687877543,1.0,0.0,12.69771740737188,1.0,0.0
36.506470200908375,1.0,0.0,5.32100658859315,0.0,0.0,7.82345064406357,0.0,0.0,3.076110428116124,1.0,1.0
